channel_id,channel_name,total_subscribers,total_views,total_videos
UCq-Fj5jknLsUf-MWSy4_brA,T-Series,315000000,355473234699,27119
UCpEhnqL0y41EpW2TvWAHD7Q,SET India,190000000,192509898239,176000
UCFFbwnve3yF62-tVXkTyHqg,Zee Music Company,123000000,91409958772,17062
UCyoXW-Dse7fURq30EWl_CUA,Goldmines,110000000,32892135063,14104
UC6-F5tO8uklgE9Zy8IvbdFw,Sony SAB,106000000,148022346368,115849
UCppHT7SZKKvar4Oc9J4oljQ,Zee TV,98900000,120038109718,220247
UCP6uH_XlsxrXwZQ4DlqbqPg,Shemaroo Filmi Gaane,75000000,36511629841,10254
UC55IWqFLDH1Xp7iu1_xknRA,Colors TV,82500000,2771701711,128156
UCBnZ16ahKA2DZ_T5W0FPUXg,ChuChu TV Nursery Rhymes & Kids Songs,98200000,60521091073,1132
UCJrDMFOdv1I2k8n9oK_V21w,Tips Official,82400000,59101051622,10469
bhojpuriwave,,,,
UC56gTxNs4f9xZ7Pa2i5xNzg,Sony Music India,72900000,85645898099,12553
UCt4t-jeY85JegMlZ-E5UWtA,Aaj Tak,75600000,48889172409,739639
UCbTLwN10NoCU4WDzLf1JMOA,YRF,72700000,61125995895,5127
UC1ciY6kR3yj3kaKZ6R7ewAg,Infobells - Hindi,72700000,50034221487,1001
carryminati,,,,
UCF1JIbMUs6uqoZEY1Haw0GQ,Shemaroo,62200000,28652483479,13918
UCOsyDsO5tIt-VZ1iwjdQmew,Speed Records,48700000,37541024880,13630
UCJg19noZp7-BYIGvypu_cow,JioHotstar Kids,58500000,18697460497,4940
UCWi_65E_L8tQZ34C6wVAlpQ,Ishtar Music,53900000,25605610343,7079
UCtW7qWjpCZ8zps-Cf2NF26w,Goldmines Gaane Sune Ansune,49400000,18379454008,2908
UCcvNYxWXR_5TjVK7cSCdW-g,T-Series Apna Punjab,41300000,30249768999,10106
UC5c9VlYTSvBSCaoMu_GI6gQ,Total Gaming,45900000,5227854746,598
UCRWFSbif-RFENbBrSiez1DA,ABP NEWS,51300000,33928303640,648102
UCLtNvbkqea8wN_kGtfgx_Mw,Desi Music Factory,34200000,11618162990,533
UCRm96I5kmb_iGFofE5N691w,T-Series Bollywood Classics,53800000,43407008744,4104
UC_A7K2dXFsTMAciGmnNxy-Q,Saregama Music,64700000,37382635083,10908
