channel_id,channel_name,total_subscribers,total_views,total_videos
UCq-Fj5jknLsUf-MWSy4_brA,T-Series,315000000.0,355473234699.0,27119.0
UCpEhnqL0y41EpW2TvWAHD7Q,SET India,190000000.0,192509898239.0,176000.0
UCFFbwnve3yF62-tVXkTyHqg,Zee Music Company,123000000.0,91409958772.0,17062.0
UCyoXW-Dse7fURq30EWl_CUA,Goldmines,110000000.0,32892135063.0,14104.0
UC6-F5tO8uklgE9Zy8IvbdFw,Sony SAB,106000000.0,148022346368.0,115849.0
UCppHT7SZKKvar4Oc9J4oljQ,Zee TV,98900000.0,120038109718.0,220247.0
UCP6uH_XlsxrXwZQ4DlqbqPg,Shemaroo Filmi Gaane,75000000.0,36511629841.0,10254.0
UC55IWqFLDH1Xp7iu1_xknRA,Colors TV,82500000.0,2771701711.0,128156.0
UCBnZ16ahKA2DZ_T5W0FPUXg,ChuChu TV Nursery Rhymes & Kids Songs,98200000.0,60521091073.0,1132.0
UCJrDMFOdv1I2k8n9oK_V21w,Tips Official,82400000.0,59101051622.0,10469.0
bhojpuriwave,,,,
UC56gTxNs4f9xZ7Pa2i5xNzg,Sony Music India,72900000.0,85645898099.0,12553.0
UCt4t-jeY85JegMlZ-E5UWtA,Aaj Tak,75600000.0,48889172409.0,739639.0
UCbTLwN10NoCU4WDzLf1JMOA,YRF,72700000.0,61125995895.0,5127.0
UC1ciY6kR3yj3kaKZ6R7ewAg,Infobells - Hindi,72700000.0,50034221487.0,1001.0
carryminati,,,,
UCF1JIbMUs6uqoZEY1Haw0GQ,Shemaroo,62200000.0,28652483479.0,13918.0
UCOsyDsO5tIt-VZ1iwjdQmew,Speed Records,48700000.0,37541024880.0,13630.0
UCJg19noZp7-BYIGvypu_cow,JioHotstar Kids,58500000.0,18697460497.0,4940.0
UCWi_65E_L8tQZ34C6wVAlpQ,Ishtar Music,53900000.0,25605610343.0,7079.0
UCtW7qWjpCZ8zps-Cf2NF26w,Goldmines Gaane Sune Ansune,49400000.0,18379454008.0,2908.0
UCcvNYxWXR_5TjVK7cSCdW-g,T-Series Apna Punjab,41300000.0,30249768999.0,10106.0
UC5c9VlYTSvBSCaoMu_GI6gQ,Total Gaming,45900000.0,5227854746.0,598.0
UCRWFSbif-RFENbBrSiez1DA,ABP NEWS,51300000.0,33928303640.0,648102.0
UCLtNvbkqea8wN_kGtfgx_Mw,Desi Music Factory,34200000.0,11618162990.0,533.0
UCRm96I5kmb_iGFofE5N691w,T-Series Bollywood Classics,53800000.0,43407008744.0,4104.0
UC_A7K2dXFsTMAciGmnNxy-Q,Saregama Music,64700000.0,37382635083.0,10908.0
UCEKWXRsfUHkan-D_ljU8Asw,Rajshri,41500000.0,20892971984.0,5488.0
UCttspZesZIDEwwpVIgoZtWQ,IndiaTV,50900000.0,36338116787.0,473049.0
UCX52tYZiEh_mHoFja3Veciw,Eros Universe,35700000.0,5526645317.0,21012.0
UCSiDGb0MnHFGjs4E2WKvShw,MR. INDIAN HACKER,53000000.0,11343897288.0,1447.0
UCIvaYmXn910QMdemBG3v1pQ,Zee News,42400000.0,34027659366.0,356812.0
UCX8pnu3DYUnx8qy8V_c6oHg,Techno Gamerz,53100000.0,16518402034.0,1192.0
UCN8S4CqMRy6tVKVXvs7Bzeg,WowKidz,41400000.0,24361102482.0,15287.0
UCHcn4Ux-sO9nzNu7rDsoQLg,infobells - Tamil,36300000.0,25621146839.0,973.0
UCHvoq_rGmOKJKGId1nD1V4Q,infobells - Telugu,37600000.0,25326180199.0,920.0
UCqwUrj10mAEsqezcItqvwEw,BB Ki Vines,26500000.0,5374775069.0,195.0
UCBOmfqgTZi7yDp4-3Lr_3lA,Shemaroo Movies,39800000.0,11690707472.0,3927.0
UCopY0NAzASqmD6eVaRj2TFQ,Ishtar Punjabi,25700000.0,14825520846.0,8232.0
UCOhHO2ICt0ti9KAh-QHvttQ,Technical Guruji,23700000.0,4092004059.0,6341.0
UCpcsv3Ow-8IhoUGDEfPetsQ,Venus Movies,27700000.0,6267224411.0,2520.0
UCYLlkv4hivYJlOk6Lo-RHNQ,Wave Music Bhojpuri,27200000.0,16235865014.0,25551.0
UCebC4x5l2-PQxg46Ucv9CsA,Crazy XYZ,36900000.0,11882803527.0,1703.0
UCo6y9hnRawAqtyWhRhblXqg,Dushyant kukreja,50000000.0,35554859532.0,1900.0
UC3ar28GS6o1p0m_wabfk2zw,Pen Movies,30100000.0,9863001946.0,1864.0
UCYauDsl-rswjQGpA0_-Z9Pw,Ultra Movie Parlour,32300000.0,7752380527.0,2299.0
UCZSNzBgFub_WWil6TOTYwAg,Netflix India,29400000.0,16587235290.0,7324.0
UCR-foyF-C6VuAlwy3KZMkgA,Dr. Vivek Bindra: Motivational Speaker,21000000.0,2162844277.0,3442.0
UCCrw5RBWF9i8VPt4IxL8IsQ,Goldmines Cineplex,27500000.0,3231660915.0,5534.0
UC-LPIU24bQXVljUXivKEeRQ,StarPlus,56700000.0,67148535720.0,140098.0
UCw0ry7cLRUnq3Oaszlhgqfg,DLS News,23300000.0,4028832455.0,9570.0
UCC9Iz-AebxsyVF4iZagOtwA,Heidi & Zidane बच्चों की कहानियाँ,21000000.0,15220211755.0,1311.0
UCiBigY9XM-HaOxUc269ympg,Green Gold TV - Official Channel,22200000.0,11676037430.0,3519.0
UCatL-c6pmnjzEOHSyjn-sHA,Khan GS Research Centre,25900000.0,2812829149.0,413.0
UCSs9H1cyB3OHdy8wkit8ZKg,etvteluguindia,23600000.0,33280867091.0,189319.0
UCBnxEdpoZwstJqC1yZpOjRA,Sun TV,32800000.0,46568464509.0,188232.0
