#,NAME,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,channel_id,channel_name,total_subscribers,total_views,total_videos
1,T-Series @UCq-Fj5jknLsUf-MWSy4_brA,234M,-,India,,70.2M,UCq-Fj5jknLsUf-MWSy4_brA,T-Series,315000000,355473234699,27119
2,SET India @UCpEhnqL0y41EpW2TvWAHD7Q,139M,-,India,,41.7M,UCpEhnqL0y41EpW2TvWAHD7Q,SET India,190000000,192509898239,176000
3,Zee Music Company @UCFFbwnve3yF62-tVXkTyHqg,91.4M,-,India,,27.4M,UCFFbwnve3yF62-tVXkTyHqg,Zee Music Company,123000000,91409958772,17062
4,Goldmines @UCyoXW-Dse7fURq30EWl_CUA,72M,-,India,,21.6M,UCyoXW-Dse7fURq30EWl_CUA,Goldmines,110000000,32892135063,14104
5,Sony SAB @UC6-F5tO8uklgE9Zy8IvbdFw,69.2M,-,India,,20.8M,UC6-F5tO8uklgE9Zy8IvbdFw,Sony SAB,106000000,148022346368,115849
6,Zee TV @UCppHT7SZKKvar4Oc9J4oljQ,64M,-,India,,19.2M,UCppHT7SZKKvar4Oc9J4oljQ,Zee TV,98900000,120038109718,220247
7,Shemaroo Filmi Gaane @UCP6uH_XlsxrXwZQ4DlqbqPg,61.1M,-,India,,18.3M,UCP6uH_XlsxrXwZQ4DlqbqPg,Shemaroo Filmi Gaane,75000000,36511629841,10254
8,Colors TV @UC55IWqFLDH1Xp7iu1_xknRA,59.2M,-,India,,17.8M,UC55IWqFLDH1Xp7iu1_xknRA,Colors TV,82500000,2771701711,128156
9,ChuChu TV Nursery Rhymes & Kids Songs @UCBnZ16ahKA2DZ_T5W0FPUXg,58.7M,-,India,,17.6M,UCBnZ16ahKA2DZ_T5W0FPUXg,ChuChu TV Nursery Rhymes & Kids Songs,98200000,60521091073,1132
10,Tips Official @UCJrDMFOdv1I2k8n9oK_V21w,56.5M,-,India,,17M,UCJrDMFOdv1I2k8n9oK_V21w,Tips Official,82400000,59101051622,10469
11,Wave Music @bhojpuriwave,55.6M,-,India,,16.7M,bhojpuriwave,,,,
12,Sony Music India @UC56gTxNs4f9xZ7Pa2i5xNzg,55.3M,-,India,,16.6M,UC56gTxNs4f9xZ7Pa2i5xNzg,Sony Music India,72900000,85645898099,12553
13,Aaj Tak @UCt4t-jeY85JegMlZ-E5UWtA,54M,-,India,,16.2M,UCt4t-jeY85JegMlZ-E5UWtA,Aaj Tak,75600000,48889172409,739639
14,YRF @UCbTLwN10NoCU4WDzLf1JMOA,48.4M,-,India,,14.5M,UCbTLwN10NoCU4WDzLf1JMOA,YRF,72700000,61125995895,5127
15,Infobells - Hindi @UC1ciY6kR3yj3kaKZ6R7ewAg,46.6M,-,India,,14M,UC1ciY6kR3yj3kaKZ6R7ewAg,Infobells - Hindi,72700000,50034221487,1001
16,CarryMinati @carryminati,41.6M,9.2%,India,Video Gaming,12.5M,carryminati,,,,
17,Shemaroo @UCF1JIbMUs6uqoZEY1Haw0GQ,41.2M,-,India,Celebrity,12.4M,UCF1JIbMUs6uqoZEY1Haw0GQ,Shemaroo,62200000,28652483479,13918
18,Speed Records @UCOsyDsO5tIt-VZ1iwjdQmew,41.1M,-,India,Music,12.3M,UCOsyDsO5tIt-VZ1iwjdQmew,Speed Records,48700000,37541024880,13630
19,Voot Kids @UCJg19noZp7-BYIGvypu_cow,39.3M,-,India,,11.8M,UCJg19noZp7-BYIGvypu_cow,JioHotstar Kids,58500000,18697460497,4940
20,Ishtar Music @UCWi_65E_L8tQZ34C6wVAlpQ,38.5M,-,India,Music Celebrity,11.6M,UCWi_65E_L8tQZ34C6wVAlpQ,Ishtar Music,53900000,25605610343,7079
21,Goldmines Gaane Sune Ansune @UCtW7qWjpCZ8zps-Cf2NF26w,35.6M,-,India,,10.7M,UCtW7qWjpCZ8zps-Cf2NF26w,Goldmines Gaane Sune Ansune,49400000,18379454008,2908
22,T-Series Apna Punjab @UCcvNYxWXR_5TjVK7cSCdW-g,33.6M,-,India,,10.1M,UCcvNYxWXR_5TjVK7cSCdW-g,T-Series Apna Punjab,41300000,30249768999,10106
23,Total Gaming @UC5c9VlYTSvBSCaoMu_GI6gQ,33.6M,0.2%,India,Video Gaming,10.1M,UC5c9VlYTSvBSCaoMu_GI6gQ,Total Gaming,45900000,5227854746,598
24,ABP NEWS @UCRWFSbif-RFENbBrSiez1DA,33.5M,-,India,,10.1M,UCRWFSbif-RFENbBrSiez1DA,ABP NEWS,51300000,33928303640,648102
25,Desi Music Factory @UCLtNvbkqea8wN_kGtfgx_Mw,33M,1.8%,India,,9.9M,UCLtNvbkqea8wN_kGtfgx_Mw,Desi Music Factory,34200000,11618162990,533
26,Bollywood Classics @UCRm96I5kmb_iGFofE5N691w,32.7M,-,India,,9.8M,UCRm96I5kmb_iGFofE5N691w,T-Series Bollywood Classics,53800000,43407008744,4104
27,Saregama Music @UC_A7K2dXFsTMAciGmnNxy-Q,32.1M,-,India,,9.6M,UC_A7K2dXFsTMAciGmnNxy-Q,Saregama Music,64700000,37382635083,10908
28,Rajshri @UCEKWXRsfUHkan-D_ljU8Asw,31.9M,-,India,,9.6M,UCEKWXRsfUHkan-D_ljU8Asw,Rajshri,41500000,20892971984,5488
29,IndiaTV @UCttspZesZIDEwwpVIgoZtWQ,31.6M,-,India,,9.5M,UCttspZesZIDEwwpVIgoZtWQ,IndiaTV,50900000,36338116787,473049
30,Eros Now Music @UCX52tYZiEh_mHoFja3Veciw,31.1M,-,India,,9.3M,UCX52tYZiEh_mHoFja3Veciw,Eros Universe,35700000,5526645317,21012
31,MR. INDIAN HACKER @UCSiDGb0MnHFGjs4E2WKvShw,29.8M,-,India,,8.9M,UCSiDGb0MnHFGjs4E2WKvShw,MR. INDIAN HACKER,53000000,11343897288,1447
32,Zee News @UCIvaYmXn910QMdemBG3v1pQ,28.7M,-,India,,8.6M,UCIvaYmXn910QMdemBG3v1pQ,Zee News,42400000,34027659366,356812
33,Techno Gamerz @UCX8pnu3DYUnx8qy8V_c6oHg,28.1M,0.9%,India,News Video Gaming,8.4M,UCX8pnu3DYUnx8qy8V_c6oHg,Techno Gamerz,53100000,16518402034,1192
34,Wow Kidz @UCN8S4CqMRy6tVKVXvs7Bzeg,27.6M,-,India,,8.3M,UCN8S4CqMRy6tVKVXvs7Bzeg,WowKidz,41400000,24361102482,15287
